id,code,name,city,product_id
11063,SAN, CA: San Diego International,San Diego,11063
11064,SEA, WA: Seattle/Tacoma International,Seattle,11064
11065,SFO, CA: San Francisco International,San Francisco,11065
11066,SLC, UT: Salt Lake City International,Salt Lake City,11066
11067,TPA, FL: Tampa International,Tampa,11067
11068,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11068
11069,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11069
11070,CLT, NC: Charlotte Douglas International,Charlotte,11070
11071,DCA, DC: Ronald Reagan Washington National,Washington,11071
11072,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11072
11073,DTW, MI: Detroit Metro Wayne County,Detroit,11073
11074,IAD, DC: Washington Dulles International,Washington,11074
11075,IAH, TX: George Bush Intercontinental/Houston,Houston,11075
11076,JFK, NY: John F. Kennedy International,New York,11076
11077,LAS, NV: McCarran International,Las Vegas,11077
11078,LAX, CA: Los Angeles International,Los Angeles,11078
11079,MCO, FL: Orlando International,Orlando,11079
11080,MDW, IL: Chicago Midway International,Chicago,11080
11081,MSP, MN: Minneapolis-St Paul International,Minneapolis,11081
11082,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11082
11083,SAN, CA: San Diego International,San Diego,11083
11084,SLC, UT: Salt Lake City International,Salt Lake City,11084
11085,TPA, FL: Tampa International,Tampa,11085
11086,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11086
11087,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11087
11088,DCA, DC: Ronald Reagan Washington National,Washington,11088
11089,DEN, CO: Denver International,Denver,11089
11090,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11090
11091,DTW, MI: Detroit Metro Wayne County,Detroit,11091
11092,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11092
11093,IAH, TX: George Bush Intercontinental/Houston,Houston,11093
11094,LAS, NV: McCarran International,Las Vegas,11094
11095,LAX, CA: Los Angeles International,Los Angeles,11095
11096,LGA, NY: LaGuardia,New York,11096
11097,MCO, FL: Orlando International,Orlando,11097
11098,MDW, IL: Chicago Midway International,Chicago,11098
11099,MSP, MN: Minneapolis-St Paul International,Minneapolis,11099
11100,PDX, OR: Portland International,Portland,11100
11101,PHL, PA: Philadelphia International,Philadelphia,11101
11102,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11102
11103,SAN, CA: San Diego International,San Diego,11103
11104,SEA, WA: Seattle/Tacoma International,Seattle,11104
11105,SFO, CA: San Francisco International,San Francisco,11105
11106,SLC, UT: Salt Lake City International,Salt Lake City,11106
11107,TPA, FL: Tampa International,Tampa,11107
11108,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11108
11109,BOS, MA: Logan International,Boston,11109
11110,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11110
11111,CLT, NC: Charlotte Douglas International,Charlotte,11111
11112,DCA, DC: Ronald Reagan Washington National,Washington,11112
11113,DEN, CO: Denver International,Denver,11113
11114,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11114
11115,DTW, MI: Detroit Metro Wayne County,Detroit,11115
11116,EWR, NJ: Newark Liberty International,Newark,11116
11117,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11117
11118,IAD, DC: Washington Dulles International,Washington,11118
11119,LAS, NV: McCarran International,Las Vegas,11119
11120,LAX, CA: Los Angeles International,Los Angeles,11120
11121,LGA, NY: LaGuardia,New York,11121
11122,MCO, FL: Orlando International,Orlando,11122
11123,MDW, IL: Chicago Midway International,Chicago,11123
11124,MIA, FL: Miami International,Miami,11124
11125,MSP, MN: Minneapolis-St Paul International,Minneapolis,11125
11126,PHL, PA: Philadelphia International,Philadelphia,11126
11127,SFO, CA: San Francisco International,San Francisco,11127
11128,TPA, FL: Tampa International,Tampa,11128
11129,LAS, NV: McCarran International,Las Vegas,11129
11130,LAX, CA: Los Angeles International,Los Angeles,11130
11131,PDX, OR: Portland International,Portland,11131
11132,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11132
11133,SAN, CA: San Diego International,San Diego,11133
11134,SEA, WA: Seattle/Tacoma International,Seattle,11134
11135,SFO, CA: San Francisco International,San Francisco,11135
11136,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11136
11137,BOS, MA: Logan International,Boston,11137
11138,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11138
11139,DCA, DC: Ronald Reagan Washington National,Washington,11139
11140,DEN, CO: Denver International,Denver,11140
11141,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11141
11142,DTW, MI: Detroit Metro Wayne County,Detroit,11142
11143,EWR, NJ: Newark Liberty International,Newark,11143
11144,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11144
11145,IAD, DC: Washington Dulles International,Washington,11145
11146,IAH, TX: George Bush Intercontinental/Houston,Houston,11146
11147,JFK, NY: John F. Kennedy International,New York,11147
11148,LAS, NV: McCarran International,Las Vegas,11148
11149,LAX, CA: Los Angeles International,Los Angeles,11149
11150,MCO, FL: Orlando International,Orlando,11150
11151,MIA, FL: Miami International,Miami,11151
