id,code,name,city,product_id
10682,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10682
10683,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,10683
10684,DCA, DC: Ronald Reagan Washington National,Washington,10684
10685,DEN, CO: Denver International,Denver,10685
10686,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,10686
10687,DTW, MI: Detroit Metro Wayne County,Detroit,10687
10688,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10688
10689,IAH, TX: George Bush Intercontinental/Houston,Houston,10689
10690,LAS, NV: McCarran International,Las Vegas,10690
10691,LAX, CA: Los Angeles International,Los Angeles,10691
10692,LGA, NY: LaGuardia,New York,10692
10693,MCO, FL: Orlando International,Orlando,10693
10694,MDW, IL: Chicago Midway International,Chicago,10694
10695,MSP, MN: Minneapolis-St Paul International,Minneapolis,10695
10696,PDX, OR: Portland International,Portland,10696
10697,PHL, PA: Philadelphia International,Philadelphia,10697
10698,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10698
10699,SAN, CA: San Diego International,San Diego,10699
10700,SEA, WA: Seattle/Tacoma International,Seattle,10700
10701,SFO, CA: San Francisco International,San Francisco,10701
10702,SLC, UT: Salt Lake City International,Salt Lake City,10702
10703,TPA, FL: Tampa International,Tampa,10703
10704,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10704
10705,BOS, MA: Logan International,Boston,10705
10706,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,10706
10707,CLT, NC: Charlotte Douglas International,Charlotte,10707
10708,DCA, DC: Ronald Reagan Washington National,Washington,10708
10709,DEN, CO: Denver International,Denver,10709
10710,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,10710
10711,EWR, NJ: Newark Liberty International,Newark,10711
10712,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10712
10713,IAD, DC: Washington Dulles International,Washington,10713
10714,LAS, NV: McCarran International,Las Vegas,10714
10715,LAX, CA: Los Angeles International,Los Angeles,10715
10716,LGA, NY: LaGuardia,New York,10716
10717,MCO, FL: Orlando International,Orlando,10717
10718,MDW, IL: Chicago Midway International,Chicago,10718
10719,MIA, FL: Miami International,Miami,10719
10720,MSP, MN: Minneapolis-St Paul International,Minneapolis,10720
10721,PHL, PA: Philadelphia International,Philadelphia,10721
10722,SFO, CA: San Francisco International,San Francisco,10722
10723,TPA, FL: Tampa International,Tampa,10723
10724,LAS, NV: McCarran International,Las Vegas,10724
10725,LAX, CA: Los Angeles International,Los Angeles,10725
10726,PDX, OR: Portland International,Portland,10726
10727,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10727
10728,SAN, CA: San Diego International,San Diego,10728
